day;temp;hydr
05.01.2023 6:00;20;46
05.01.2023 7:00;19;46
05.01.2023 8:00;23;54
05.01.2023 9:00;18;51
05.01.2023 10:00;22;48
05.01.2023 11:00;23;52
05.01.2023 12:00;22;49
05.01.2023 13:00;20;50
05.01.2023 14:00;21;49
05.01.2023 15:00;18;49
05.01.2023 16:00;22;53
05.01.2023 17:00;19;46
05.01.2023 18:00;18;45
05.01.2023 19:00;19;47
05.01.2023 20:00;19;54
05.01.2023 21:00;23;45
05.01.2023 22:00;21;55
05.01.2023 23:00;22;49
06.01.2023 0:00;23;46
06.01.2023 1:00;18;50
06.01.2023 2:00;23;50
06.01.2023 3:00;20;48
06.01.2023 4:00;22;52
06.01.2023 5:00;22;50
06.01.2023 6:00;19;51
06.01.2023 7:00;22;49
06.01.2023 8:00;19;52
06.01.2023 9:00;23;48
06.01.2023 10:00;23;45
06.01.2023 11:00;21;53
06.01.2023 12:00;21;54
06.01.2023 13:00;23;55
06.01.2023 14:00;20;46
06.01.2023 15:00;18;46
06.01.2023 16:00;18;49
06.01.2023 17:00;20;47
06.01.2023 18:00;20;52
06.01.2023 19:00;19;47
06.01.2023 20:00;19;46
06.01.2023 21:00;18;52
06.01.2023 22:00;21;55
06.01.2023 23:00;18;53
07.01.2023 0:00;19;45
07.01.2023 1:00;18;48
07.01.2023 2:00;22;48
07.01.2023 3:00;21;47
07.01.2023 4:00;23;54
07.01.2023 5:00;19;54
07.01.2023 6:00;18;53
07.01.2023 7:00;22;50
07.01.2023 8:00;21;45
07.01.2023 9:00;22;55
07.01.2023 10:00;21;52
07.01.2023 11:00;18;55
07.01.2023 12:00;18;53
07.01.2023 13:00;18;53
07.01.2023 14:00;20;48
07.01.2023 15:00;20;45
07.01.2023 16:00;23;45
07.01.2023 17:00;23;49
07.01.2023 18:00;18;55
07.01.2023 19:00;23;53
07.01.2023 20:00;23;50
07.01.2023 21:00;22;55
07.01.2023 22:00;22;45
07.01.2023 23:00;18;47
08.01.2023 0:00;18;46
08.01.2023 1:00;18;51
08.01.2023 2:00;22;55
08.01.2023 3:00;22;51
08.01.2023 4:00;23;49
08.01.2023 5:00;22;51
08.01.2023 6:00;21;54
08.01.2023 7:00;22;48
08.01.2023 8:00;18;47
08.01.2023 9:00;21;54
08.01.2023 10:00;20;53
08.01.2023 11:00;18;52
08.01.2023 12:00;20;53
08.01.2023 13:00;20;52
08.01.2023 14:00;21;47
08.01.2023 15:00;20;46
08.01.2023 16:00;18;55
08.01.2023 17:00;21;47
08.01.2023 18:00;19;53
08.01.2023 19:00;23;45
08.01.2023 20:00;23;48
08.01.2023 21:00;23;54
08.01.2023 22:00;21;53
08.01.2023 23:00;23;54
09.01.2023 0:00;21;50
09.01.2023 1:00;18;45
09.01.2023 2:00;23;47
09.01.2023 3:00;23;50
09.01.2023 4:00;19;55
09.01.2023 5:00;19;48
09.01.2023 6:00;19;47
09.01.2023 7:00;23;48
09.01.2023 8:00;22;45
09.01.2023 9:00;20;47
09.01.2023 10:00;19;50
09.01.2023 11:00;23;53
09.01.2023 12:00;20;47
09.01.2023 13:00;22;49
09.01.2023 14:00;19;54
09.01.2023 15:00;18;51
09.01.2023 16:00;19;48
09.01.2023 17:00;18;46
09.01.2023 18:00;18;52
09.01.2023 19:00;23;48
09.01.2023 20:00;21;51
09.01.2023 21:00;18;47
09.01.2023 22:00;19;46
09.01.2023 23:00;20;46
10.01.2023 0:00;20;52
10.01.2023 1:00;19;48
10.01.2023 2:00;20;52
10.01.2023 3:00;21;47
10.01.2023 4:00;18;49
10.01.2023 5:00;21;49
10.01.2023 6:00;22;47
10.01.2023 7:00;18;49
10.01.2023 8:00;18;52
10.01.2023 9:00;18;49
10.01.2023 10:00;18;46
10.01.2023 11:00;23;54
10.01.2023 12:00;21;52
10.01.2023 13:00;19;55
10.01.2023 14:00;19;49
10.01.2023 15:00;21;53
10.01.2023 16:00;20;54
10.01.2023 17:00;19;48
10.01.2023 18:00;22;53
10.01.2023 19:00;22;50
10.01.2023 20:00;21;52
10.01.2023 21:00;20;45
10.01.2023 22:00;23;47
10.01.2023 23:00;19;49
11.01.2023 0:00;22;47
11.01.2023 1:00;21;47
11.01.2023 2:00;18;55
11.01.2023 3:00;19;48
11.01.2023 4:00;23;55
11.01.2023 5:00;18;53
11.01.2023 6:00;22;45
11.01.2023 7:00;20;54
11.01.2023 8:00;20;51
11.01.2023 9:00;19;52
11.01.2023 10:00;21;49
11.01.2023 11:00;21;48
11.01.2023 12:00;22;47
11.01.2023 13:00;19;48
11.01.2023 14:00;20;46
11.01.2023 15:00;21;53
11.01.2023 16:00;22;45
11.01.2023 17:00;21;51
11.01.2023 18:00;22;54
11.01.2023 19:00;20;45
11.01.2023 20:00;23;45
11.01.2023 21:00;23;46
11.01.2023 22:00;20;47
11.01.2023 23:00;22;55
12.01.2023 0:00;19;48
12.01.2023 1:00;19;50
12.01.2023 2:00;22;51
12.01.2023 3:00;20;47
12.01.2023 4:00;19;50
12.01.2023 5:00;22;47
12.01.2023 6:00;21;51
12.01.2023 7:00;18;49
12.01.2023 8:00;23;47
12.01.2023 9:00;23;54
12.01.2023 10:00;20;52
12.01.2023 11:00;18;50
12.01.2023 12:00;20;52
12.01.2023 13:00;23;50
12.01.2023 14:00;19;54
12.01.2023 15:00;21;47
12.01.2023 16:00;20;47
12.01.2023 17:00;23;51
12.01.2023 18:00;21;46
12.01.2023 19:00;23;50
12.01.2023 20:00;19;46
12.01.2023 21:00;19;49
12.01.2023 22:00;21;49
12.01.2023 23:00;20;52
13.01.2023 0:00;21;48
13.01.2023 1:00;20;54
13.01.2023 2:00;19;48
13.01.2023 3:00;23;47
13.01.2023 4:00;18;50
13.01.2023 5:00;19;55
13.01.2023 6:00;21;46
13.01.2023 7:00;19;55
13.01.2023 8:00;23;55
13.01.2023 9:00;22;55
13.01.2023 10:00;21;51
13.01.2023 11:00;22;49
13.01.2023 12:00;19;47
13.01.2023 13:00;18;45
13.01.2023 14:00;18;55
13.01.2023 15:00;23;48
13.01.2023 16:00;19;47
13.01.2023 17:00;22;50
13.01.2023 18:00;23;47
13.01.2023 19:00;20;46
13.01.2023 20:00;20;47
13.01.2023 21:00;23;51
13.01.2023 22:00;22;54
13.01.2023 23:00;22;55
14.01.2023 0:00;20;53
14.01.2023 1:00;19;47
14.01.2023 2:00;18;52
14.01.2023 3:00;21;48
14.01.2023 4:00;20;47
14.01.2023 5:00;18;52
14.01.2023 6:00;21;45
14.01.2023 7:00;21;46
14.01.2023 8:00;21;52
14.01.2023 9:00;20;53
14.01.2023 10:00;21;52
14.01.2023 11:00;18;54
14.01.2023 12:00;21;45
14.01.2023 13:00;18;46
14.01.2023 14:00;23;49
14.01.2023 15:00;18;54
14.01.2023 16:00;20;49
14.01.2023 17:00;21;53
14.01.2023 18:00;22;47
14.01.2023 19:00;21;49
14.01.2023 20:00;21;45
14.01.2023 21:00;22;49
14.01.2023 22:00;20;49
14.01.2023 23:00;22;55
15.01.2023 0:00;22;50
15.01.2023 1:00;20;53
15.01.2023 2:00;18;46
15.01.2023 3:00;23;50
15.01.2023 4:00;18;47
15.01.2023 5:00;20;51
15.01.2023 6:00;21;54
15.01.2023 7:00;20;54
15.01.2023 8:00;21;52
15.01.2023 9:00;22;52
15.01.2023 10:00;23;47
15.01.2023 11:00;23;48
15.01.2023 12:00;19;46
15.01.2023 13:00;23;46
15.01.2023 14:00;20;49
15.01.2023 15:00;23;46
15.01.2023 16:00;18;52
15.01.2023 17:00;19;45
15.01.2023 18:00;23;51
15.01.2023 19:00;22;51
15.01.2023 20:00;21;55
15.01.2023 21:00;23;53
15.01.2023 22:00;20;52
15.01.2023 23:00;21;45
16.01.2023 0:00;23;50
16.01.2023 1:00;19;50
16.01.2023 2:00;18;47
16.01.2023 3:00;22;47
16.01.2023 4:00;20;46
16.01.2023 5:00;18;46
16.01.2023 6:00;18;48
16.01.2023 7:00;18;47
16.01.2023 8:00;18;53
16.01.2023 9:00;20;49
16.01.2023 10:00;22;45
16.01.2023 11:00;20;48
16.01.2023 12:00;20;51
16.01.2023 13:00;19;48
16.01.2023 14:00;22;53
16.01.2023 15:00;18;55
16.01.2023 16:00;22;47
16.01.2023 17:00;22;50
16.01.2023 18:00;23;51
16.01.2023 19:00;18;50
16.01.2023 20:00;18;51
16.01.2023 21:00;22;45
16.01.2023 22:00;18;49
16.01.2023 23:00;20;47
17.01.2023 0:00;21;55
17.01.2023 1:00;19;55
17.01.2023 2:00;19;53
17.01.2023 3:00;19;52
17.01.2023 4:00;23;53
17.01.2023 5:00;18;52
17.01.2023 6:00;21;50
17.01.2023 7:00;23;54
17.01.2023 8:00;21;51
17.01.2023 9:00;18;55
17.01.2023 10:00;22;50
17.01.2023 11:00;20;55
17.01.2023 12:00;21;50
17.01.2023 13:00;18;54
17.01.2023 14:00;23;46
17.01.2023 15:00;20;49
17.01.2023 16:00;22;49
17.01.2023 17:00;20;54
17.01.2023 18:00;19;46
17.01.2023 19:00;23;51
17.01.2023 20:00;21;48
17.01.2023 21:00;23;45
17.01.2023 22:00;18;51
17.01.2023 23:00;21;48
18.01.2023 0:00;22;47
18.01.2023 1:00;23;50
18.01.2023 2:00;18;55
18.01.2023 3:00;23;49
18.01.2023 4:00;20;53
18.01.2023 5:00;18;49
18.01.2023 6:00;22;45
18.01.2023 7:00;21;48
18.01.2023 8:00;19;48
18.01.2023 9:00;23;47
18.01.2023 10:00;19;55
18.01.2023 11:00;19;55
18.01.2023 12:00;21;51
18.01.2023 13:00;22;48
18.01.2023 14:00;20;51
18.01.2023 15:00;23;55
18.01.2023 16:00;23;55
18.01.2023 17:00;19;54
18.01.2023 18:00;20;50
18.01.2023 19:00;21;51
18.01.2023 20:00;20;46
18.01.2023 21:00;18;48
18.01.2023 22:00;21;50
18.01.2023 23:00;22;48
19.01.2023 0:00;19;50
19.01.2023 1:00;20;53
19.01.2023 2:00;21;50
19.01.2023 3:00;18;55
19.01.2023 4:00;22;48
19.01.2023 5:00;19;48
19.01.2023 6:00;23;46
19.01.2023 7:00;22;55
19.01.2023 8:00;20;51
19.01.2023 9:00;22;48
19.01.2023 10:00;21;48
19.01.2023 11:00;20;49
19.01.2023 12:00;18;55
19.01.2023 13:00;18;54
19.01.2023 14:00;23;49
19.01.2023 15:00;21;47
19.01.2023 16:00;23;49
19.01.2023 17:00;23;52
19.01.2023 18:00;21;55
19.01.2023 19:00;21;45
19.01.2023 20:00;19;48
19.01.2023 21:00;22;51
19.01.2023 22:00;20;48
19.01.2023 23:00;21;48
20.01.2023 0:00;19;53
20.01.2023 1:00;20;46
20.01.2023 2:00;18;49
20.01.2023 3:00;21;49
20.01.2023 4:00;19;47
20.01.2023 5:00;18;46
20.01.2023 6:00;23;49
20.01.2023 7:00;21;46
20.01.2023 8:00;21;53
20.01.2023 9:00;20;52
20.01.2023 10:00;23;48
20.01.2023 11:00;21;54
20.01.2023 12:00;23;51
20.01.2023 13:00;21;48
20.01.2023 14:00;23;54
20.01.2023 15:00;22;52
20.01.2023 16:00;18;45
20.01.2023 17:00;20;51
20.01.2023 18:00;20;50
20.01.2023 19:00;23;54
20.01.2023 20:00;20;55
20.01.2023 21:00;22;49
20.01.2023 22:00;21;45
20.01.2023 23:00;19;53
21.01.2023 0:00;21;52
21.01.2023 1:00;19;52
21.01.2023 2:00;21;49
21.01.2023 3:00;20;51
21.01.2023 4:00;19;51
21.01.2023 5:00;20;50
21.01.2023 6:00;19;50
21.01.2023 7:00;22;52
21.01.2023 8:00;22;45
21.01.2023 9:00;21;46
21.01.2023 10:00;23;54
21.01.2023 11:00;21;45
21.01.2023 12:00;22;52
21.01.2023 13:00;18;47
21.01.2023 14:00;22;54
21.01.2023 15:00;20;51
21.01.2023 16:00;21;46
21.01.2023 17:00;18;53
21.01.2023 18:00;22;52
21.01.2023 19:00;19;49
21.01.2023 20:00;20;48
21.01.2023 21:00;19;55
21.01.2023 22:00;23;51
21.01.2023 23:00;18;54
22.01.2023 0:00;23;53
22.01.2023 1:00;23;50
22.01.2023 2:00;21;51
22.01.2023 3:00;20;51
22.01.2023 4:00;18;54
22.01.2023 5:00;22;54
22.01.2023 6:00;19;45
22.01.2023 7:00;18;51
22.01.2023 8:00;18;47
22.01.2023 9:00;21;47
22.01.2023 10:00;22;52
22.01.2023 11:00;19;54
22.01.2023 12:00;21;53
22.01.2023 13:00;22;45
22.01.2023 14:00;19;55
22.01.2023 15:00;20;48
22.01.2023 16:00;20;55
22.01.2023 17:00;20;50
22.01.2023 18:00;21;53
22.01.2023 19:00;19;51
22.01.2023 20:00;19;49
22.01.2023 21:00;21;50
22.01.2023 22:00;18;49
22.01.2023 23:00;20;48
23.01.2023 0:00;23;48
23.01.2023 1:00;23;51
23.01.2023 2:00;20;51
23.01.2023 3:00;21;53
23.01.2023 4:00;18;48
23.01.2023 5:00;22;51
23.01.2023 6:00;21;53
23.01.2023 7:00;23;50
23.01.2023 8:00;21;45
23.01.2023 9:00;19;46
23.01.2023 10:00;18;51
23.01.2023 11:00;22;49
23.01.2023 12:00;22;48
23.01.2023 13:00;18;49
23.01.2023 14:00;22;54
23.01.2023 15:00;18;47
23.01.2023 16:00;22;47
23.01.2023 17:00;23;50
23.01.2023 18:00;21;50
23.01.2023 19:00;22;45
23.01.2023 20:00;23;55
23.01.2023 21:00;22;52
23.01.2023 22:00;21;52
23.01.2023 23:00;18;49
24.01.2023 0:00;20;53
24.01.2023 1:00;23;49
24.01.2023 2:00;18;48
24.01.2023 3:00;19;52
24.01.2023 4:00;23;55
24.01.2023 5:00;22;48
24.01.2023 6:00;23;50
24.01.2023 7:00;19;53
24.01.2023 8:00;23;49
24.01.2023 9:00;21;53
24.01.2023 10:00;20;53
24.01.2023 11:00;23;53
24.01.2023 12:00;19;48
24.01.2023 13:00;22;52
24.01.2023 14:00;21;53
24.01.2023 15:00;19;55
24.01.2023 16:00;22;48
24.01.2023 17:00;18;49
24.01.2023 18:00;23;47
24.01.2023 19:00;20;52
24.01.2023 20:00;21;50
24.01.2023 21:00;19;49
24.01.2023 22:00;19;53
24.01.2023 23:00;23;45
25.01.2023 0:00;21;51
25.01.2023 1:00;19;55
25.01.2023 2:00;23;48
25.01.2023 3:00;18;52
25.01.2023 4:00;19;46
25.01.2023 5:00;21;50
25.01.2023 6:00;19;48
25.01.2023 7:00;22;51
25.01.2023 8:00;18;47
25.01.2023 9:00;23;48
25.01.2023 10:00;21;52
25.01.2023 11:00;20;54
25.01.2023 12:00;21;54
25.01.2023 13:00;21;53
25.01.2023 14:00;18;47
25.01.2023 15:00;23;52
25.01.2023 16:00;21;49
25.01.2023 17:00;21;51
25.01.2023 18:00;20;50
25.01.2023 19:00;18;47
25.01.2023 20:00;18;54
25.01.2023 21:00;20;47
25.01.2023 22:00;20;51
25.01.2023 23:00;18;53
26.01.2023 0:00;18;50
26.01.2023 1:00;22;50
26.01.2023 2:00;22;52
26.01.2023 3:00;23;45
26.01.2023 4:00;19;47
26.01.2023 5:00;21;52
26.01.2023 6:00;22;50
26.01.2023 7:00;19;48
26.01.2023 8:00;21;49
26.01.2023 9:00;23;46
26.01.2023 10:00;19;52
26.01.2023 11:00;19;55
26.01.2023 12:00;21;54
26.01.2023 13:00;21;52
26.01.2023 14:00;23;54
26.01.2023 15:00;19;51
26.01.2023 16:00;18;51
26.01.2023 17:00;19;55
26.01.2023 18:00;19;46
26.01.2023 19:00;20;52
26.01.2023 20:00;22;52
26.01.2023 21:00;18;54
26.01.2023 22:00;22;52
26.01.2023 23:00;19;51
27.01.2023 0:00;18;53
27.01.2023 1:00;18;55
27.01.2023 2:00;19;55
27.01.2023 3:00;18;53
27.01.2023 4:00;23;49
27.01.2023 5:00;19;45
27.01.2023 6:00;22;51
27.01.2023 7:00;19;54
27.01.2023 8:00;19;53
27.01.2023 9:00;18;48
27.01.2023 10:00;19;48
27.01.2023 11:00;21;45
27.01.2023 12:00;22;47
27.01.2023 13:00;22;52
27.01.2023 14:00;19;52
27.01.2023 15:00;23;48
27.01.2023 16:00;18;53
27.01.2023 17:00;19;51
27.01.2023 18:00;19;51
27.01.2023 19:00;19;49
27.01.2023 20:00;20;48
27.01.2023 21:00;20;51
27.01.2023 22:00;21;47
27.01.2023 23:00;18;51
28.01.2023 0:00;18;53
28.01.2023 1:00;19;55
28.01.2023 2:00;18;49
28.01.2023 3:00;18;45
28.01.2023 4:00;19;49
28.01.2023 5:00;22;45
28.01.2023 6:00;23;51
28.01.2023 7:00;23;51
28.01.2023 8:00;18;54
28.01.2023 9:00;20;46
28.01.2023 10:00;20;54
28.01.2023 11:00;22;45
28.01.2023 12:00;22;53
28.01.2023 13:00;23;53
28.01.2023 14:00;18;51
28.01.2023 15:00;22;46
28.01.2023 16:00;18;54
28.01.2023 17:00;23;47
28.01.2023 18:00;21;53
28.01.2023 19:00;19;48
28.01.2023 20:00;19;54
28.01.2023 21:00;20;46
28.01.2023 22:00;18;50
28.01.2023 23:00;20;54
29.01.2023 0:00;22;54
29.01.2023 1:00;22;55
29.01.2023 2:00;19;53
29.01.2023 3:00;19;46
29.01.2023 4:00;23;47
29.01.2023 5:00;19;49
29.01.2023 6:00;18;51
29.01.2023 7:00;23;55
29.01.2023 8:00;20;52
29.01.2023 9:00;19;54
29.01.2023 10:00;22;54
29.01.2023 11:00;21;51
29.01.2023 12:00;20;52
29.01.2023 13:00;18;50
29.01.2023 14:00;21;50
29.01.2023 15:00;18;54
29.01.2023 16:00;19;49
29.01.2023 17:00;21;54
29.01.2023 18:00;19;55
29.01.2023 19:00;18;48
29.01.2023 20:00;21;45
29.01.2023 21:00;23;47
29.01.2023 22:00;18;55
29.01.2023 23:00;18;49
30.01.2023 0:00;18;52
30.01.2023 1:00;23;53
30.01.2023 2:00;19;54
30.01.2023 3:00;19;53
30.01.2023 4:00;22;49
30.01.2023 5:00;22;53
30.01.2023 6:00;22;50
30.01.2023 7:00;19;49
30.01.2023 8:00;20;51
30.01.2023 9:00;20;46
30.01.2023 10:00;19;55
30.01.2023 11:00;23;49
30.01.2023 12:00;21;46
30.01.2023 13:00;21;47
30.01.2023 14:00;23;53
30.01.2023 15:00;22;46
30.01.2023 16:00;19;48
30.01.2023 17:00;21;45
30.01.2023 18:00;22;45
30.01.2023 19:00;23;51
30.01.2023 20:00;19;55
30.01.2023 21:00;20;54
30.01.2023 22:00;18;52
30.01.2023 23:00;18;50
31.01.2023 0:00;22;46
31.01.2023 1:00;20;46
31.01.2023 2:00;23;54
31.01.2023 3:00;19;50
31.01.2023 4:00;22;53
31.01.2023 5:00;22;55
31.01.2023 6:00;23;52
31.01.2023 7:00;23;45
31.01.2023 8:00;19;54
31.01.2023 9:00;22;47
31.01.2023 10:00;21;49
31.01.2023 11:00;20;52
31.01.2023 12:00;22;45
31.01.2023 13:00;21;47
31.01.2023 14:00;21;47
31.01.2023 15:00;19;50
31.01.2023 16:00;23;49
31.01.2023 17:00;22;48
31.01.2023 18:00;22;50
31.01.2023 19:00;23;47
31.01.2023 20:00;21;51
31.01.2023 21:00;22;50
31.01.2023 22:00;18;47
31.01.2023 23:00;21;50
01.02.2023 0:00;21;53
01.02.2023 1:00;19;54
01.02.2023 2:00;19;48
01.02.2023 3:00;21;53
01.02.2023 4:00;18;51
01.02.2023 5:00;20;47
01.02.2023 6:00;18;49
01.02.2023 7:00;21;49
01.02.2023 8:00;18;50
01.02.2023 9:00;23;47
01.02.2023 10:00;22;51
01.02.2023 11:00;20;51
01.02.2023 12:00;23;53
01.02.2023 13:00;18;48
01.02.2023 14:00;20;53
01.02.2023 15:00;19;55
01.02.2023 16:00;19;51
01.02.2023 17:00;23;55
01.02.2023 18:00;21;55
01.02.2023 19:00;22;51
01.02.2023 20:00;23;55
01.02.2023 21:00;19;51
01.02.2023 22:00;22;53
01.02.2023 23:00;22;54
02.02.2023 0:00;20;48
02.02.2023 1:00;20;49
02.02.2023 2:00;23;47
02.02.2023 3:00;19;51
02.02.2023 4:00;22;50
02.02.2023 5:00;19;54
02.02.2023 6:00;19;50
02.02.2023 7:00;19;50
02.02.2023 8:00;20;49
02.02.2023 9:00;20;48
02.02.2023 10:00;18;48
02.02.2023 11:00;19;55
02.02.2023 12:00;23;49
02.02.2023 13:00;20;47
02.02.2023 14:00;21;54
02.02.2023 15:00;19;55
02.02.2023 16:00;18;47
02.02.2023 17:00;19;49
02.02.2023 18:00;23;54
02.02.2023 19:00;21;54
02.02.2023 20:00;19;51
02.02.2023 21:00;23;47
02.02.2023 22:00;23;55
02.02.2023 23:00;20;47
03.02.2023 0:00;19;46
03.02.2023 1:00;20;45
03.02.2023 2:00;22;45
03.02.2023 3:00;18;54
03.02.2023 4:00;19;50
03.02.2023 5:00;19;54
03.02.2023 6:00;22;46
03.02.2023 7:00;21;46
03.02.2023 8:00;21;46
03.02.2023 9:00;18;47
03.02.2023 10:00;23;50
03.02.2023 11:00;23;47
03.02.2023 12:00;23;48
03.02.2023 13:00;18;51
03.02.2023 14:00;22;47
03.02.2023 15:00;19;51
03.02.2023 16:00;19;46
03.02.2023 17:00;21;52
03.02.2023 18:00;22;50
03.02.2023 19:00;23;53
03.02.2023 20:00;19;49
03.02.2023 21:00;20;47
03.02.2023 22:00;19;47
03.02.2023 23:00;23;47
04.02.2023 0:00;21;52
04.02.2023 1:00;21;53
04.02.2023 2:00;21;48
04.02.2023 3:00;20;55
04.02.2023 4:00;21;46
04.02.2023 5:00;19;46
04.02.2023 6:00;20;53
04.02.2023 7:00;19;48
04.02.2023 8:00;18;54
04.02.2023 9:00;22;55
04.02.2023 10:00;18;45
04.02.2023 11:00;23;52
04.02.2023 12:00;19;50
04.02.2023 13:00;22;46
04.02.2023 14:00;19;54
04.02.2023 15:00;20;52
04.02.2023 16:00;20;51
04.02.2023 17:00;20;49
04.02.2023 18:00;19;47
04.02.2023 19:00;23;52
04.02.2023 20:00;21;55
04.02.2023 21:00;23;47
04.02.2023 22:00;23;46
04.02.2023 23:00;19;46
05.02.2023 0:00;19;50
05.02.2023 1:00;20;55
05.02.2023 2:00;19;46
05.02.2023 3:00;18;45
05.02.2023 4:00;22;51
05.02.2023 5:00;22;51
05.02.2023 6:00;18;46
05.02.2023 7:00;19;53
05.02.2023 8:00;23;54
05.02.2023 9:00;20;54
05.02.2023 10:00;23;47
05.02.2023 11:00;21;55
05.02.2023 12:00;19;54
05.02.2023 13:00;21;51
05.02.2023 14:00;19;45
05.02.2023 15:00;18;45
05.02.2023 16:00;18;53
05.02.2023 17:00;18;53
05.02.2023 18:00;19;55
05.02.2023 19:00;21;50
05.02.2023 20:00;18;55
05.02.2023 21:00;18;53
05.02.2023 22:00;19;54
05.02.2023 23:00;23;46
06.02.2023 0:00;21;48
06.02.2023 1:00;21;53
06.02.2023 2:00;18;49
06.02.2023 3:00;22;46
06.02.2023 4:00;20;53
06.02.2023 5:00;21;52
06.02.2023 6:00;23;45
06.02.2023 7:00;23;48
06.02.2023 8:00;18;45
06.02.2023 9:00;21;53
06.02.2023 10:00;21;52
06.02.2023 11:00;20;52
06.02.2023 12:00;23;53
06.02.2023 13:00;23;54
06.02.2023 14:00;20;47
06.02.2023 15:00;23;50
06.02.2023 16:00;23;50
06.02.2023 17:00;21;46
06.02.2023 18:00;19;49
06.02.2023 19:00;20;50
06.02.2023 20:00;21;50
06.02.2023 21:00;19;51
06.02.2023 22:00;20;50
06.02.2023 23:00;18;55
07.02.2023 0:00;23;48
07.02.2023 1:00;22;48
07.02.2023 2:00;20;53
07.02.2023 3:00;21;51
07.02.2023 4:00;19;46
07.02.2023 5:00;23;54
07.02.2023 6:00;18;47
07.02.2023 7:00;23;49
07.02.2023 8:00;20;53
07.02.2023 9:00;22;55
07.02.2023 10:00;20;50
07.02.2023 11:00;19;49
07.02.2023 12:00;19;48
07.02.2023 13:00;22;55
07.02.2023 14:00;18;54
07.02.2023 15:00;20;47
07.02.2023 16:00;21;45
07.02.2023 17:00;20;48
07.02.2023 18:00;20;54
07.02.2023 19:00;21;45
07.02.2023 20:00;23;49
07.02.2023 21:00;21;52
07.02.2023 22:00;22;46
07.02.2023 23:00;21;47
08.02.2023 0:00;19;47
08.02.2023 1:00;20;52
08.02.2023 2:00;21;53
08.02.2023 3:00;18;53
08.02.2023 4:00;19;49
08.02.2023 5:00;22;53
08.02.2023 6:00;20;48
08.02.2023 7:00;19;52
08.02.2023 8:00;18;55
08.02.2023 9:00;18;52
08.02.2023 10:00;19;53
08.02.2023 11:00;19;48
08.02.2023 12:00;21;50
08.02.2023 13:00;22;51
08.02.2023 14:00;19;45
08.02.2023 15:00;19;54
08.02.2023 16:00;20;45
08.02.2023 17:00;20;45
08.02.2023 18:00;23;55
08.02.2023 19:00;21;53
